Title	URL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Notes	AddedUpdated							
Project STRIDE: Stress, Identity, and Mental Health, New York City, 2004-2005 (ICPSR 35525)	https://doi.org/10.3886/ICPSR35525.v2	Dataset		2016	2004	2005		Inter university Consortium for Political and Social Research ICPSR	"Project STRIDE is a three-year research project that examines the effect of stress and minority identity related to sexual orientation, race/ethnicity and gender on mental health. The research describes social stressors that affect minority populations, explores the coping and social support resources that they utilize as they confront these social stressors, and assesses the associations of stress and coping with mental health outcomes including mental disorders and wellbeing. The study also explores the impact of various identity characteristics, such as whether an identity is viewed positively or negatively, or whether it is prominent or not to the relationship of stress and mental health outcomes.; The study, using extensive quantitative and some qualitative measures, is a longitudinal survey of 525 men and women between the ages 18 and 59 who are residents of New York City. Socio-demographic information collected about respondents included age, education, race and Hispanic ethnicity, adopting the measures developed and used by the United States Census Bureau in the United States population survey of 2000. In addition to these items, racial/ethnic identity was also assessed with the question ""What is the country of origin related to your or your family's ethnic or national background, if any?"" Respondents were allowed to select up to two nations from a comprehensive listing. For the purposes of the study, the instrument also assessed whether or not participants were natives of New York City or migrated as adults. Additional demographic variables include employment status, religion, relationship status, and sexual orientation."	Quantitative	No	2004-2005	United States of America	Northern America	Nation	Individual	English	Sexuality and Gender Identity	gender expression, sexual orientation, sexual minorities, gender identity	Yes									
Queer Data. Using Gender and Sexuality Data for Action	https://www.bloomsbury.com/us/queer-data-9781350230729/	Book, Guide and Handbook	Guyan, K. (2022). Queer Data. Using Gender and Sexuality Data for Action. Bloomsbury Academic.	2022			Guyan K		"This important book is the first to look at queer data – defined as data relating to gender, sex, sexual orientation and trans identity/history. The author shows us how current data practices reflect an incomplete account of LGBTQ lives and helps us understand how data biases are used to delegitimise the everyday experiences of queer people.; Guyan demonstrates why it is important to understand, collect and analyse queer data, the benefits and challenges involved in doing so, and how we might better use queer data in our work. Arming us with the tools for action, this book shows how greater knowledge about queer identities is instrumental in informing decisions about resource allocation, changes to legislation, access to services, representation and visibility."									Sexuality and Gender Identity	sexual and gender minorities										
Queer Metadata Collective 	https://queermetadatacollective.org/	Controlled Vocabulary					Queer Metadata Collective		The Queer Metadata Collective is a group of cataloguers, librarians, archivists, scholars, museum and information professionals with a concerted interest in improving the description and classification of queer people in Galleries, Libraries, Archives, Museums, and Special Collections (GLAMS) and other information systems. The Collective’s primary goal is to develop a set of best practices for the description, cataloging, and classification of queer information resources in GLAMS. The Queer Metadata Collective’s work is underway. You can sign up for occasional updates at this link.								English	Sexuality and Gender Identity	terminology, sexual and gender minorities	No									
Queering the Catalog: Queer Theory and the Politics of Correction.	https://doi.org/10.1086/669547	Journal Article	Queering the Catalog: Queer Theory and the Politics of Correction. Emily Drabinski.The Library Quarterly 2013 83:2, 94-111       	2013			Drabinski Emily	The Library Quarterly, The University of Chicago Press	Critiques of hegemonic library classification structures and controlled vocabularies have a rich history in information studies. This project has pointed out the trouble with classification and cataloging decisions that are framed as objective and neutral but are always ideological and worked to correct bias in library structures. Viewing knowledge organization systems from a queer perspective, however, challenges the idea that classification and subject language can ever be finally corrected. Engaging queer theory and library classification and cataloging together requires new ways of thinking about how to be ethically and politically engaged on behalf of marginal knowledge formations and identities who quite reasonably expect to be able to locate themselves in the library. Queer theory invites a shift in responsibility from catalogers, positioned to offer functional solutions, to public services librarians, who can teach patrons to dialogically engage the catalog as a complex and biased text, just as critical catalogers do.								English	Sexuality and Gender Identity	sexual orientation, gender identity, terminology, sexual and gender minorities	Yes	subscription journal								
Rainbow Map	https://rainbowmap.ilga-europe.org/	Interactive Resource, Map, Data Dashboard					ILGA Europe	ILGA Europe	"ILGA-Europe’s Rainbow Map annually ranks 49 European countries on a scale between 0% (gross violations of human rights, discrimination) and 100% (respect of human rights, full equality) on the basis of laws and policies that have a direct impact on LGBTI people’s human rights. The Map ranks each country under seven categories (with a total of 76 critiera): equality and non-discrimination; family; hate crime and hate speech; legal gender recognition; intersex bodily integrity; civil society space; and asylum.  This website offers a free online data collection, designed to make the job of policy makers, human rights defenders, researchers, media outlets, and other interested NGO’s more straightforward. It allows users to filter results of the Map by category or country, compare countries, download reference materials for free, and compare a particular country’s standing both historically and with the European or EU average.; In addition to the quantitative data collected for the Rainbow Map, the qualitative data compiled in ILGA-Europe’s Annual Review of the Human Rights of LGBTI People in Europe and Central Asia, digs into what is behind the country ranking points. While the Map benchmarks countries based on legislative progress or regressions, the Annual Review contextualises this benchmarking by giving a complete picture of what has happened in each country over the past 12 months.LGA-Europe are an independent, international non-governmental umbrella organisation uniting over 700 organisations from 54 countries across Europe and Central Asia. "	Quantitative	Yes	2009-present	Russia, Moldova, Ukraine, Belgium, Hungary, Türkiye (Turkey), San Marino, Cyprus, Kosovo, Croatia, France, Italy, Bosnia and Herzegovina, Montenegro, Switzerland, Bulgaria, Norway, Lithuania, Belarus, Azerbaijan, Andorra, Monaco, North Macedonia, Germany, Poland, Denmark, Armenia, Estonia, Czechia, Albania, Serbia, Portugal, Netherlands, Finland, Austria, Liechtenstein, Slovakia, United Kingdom , Malta, Sweden, Georgia, Spain, Slovenia, Iceland, Latvia, Greece, Romania, Luxembourg	Europe	Nation	Political or Administrative Area	English	Discrimination, Family and Marriage, Criminal Justice, Law and Policy, Civil and Political Rights, Health and Gender Identity	blood donation, health, gender identity, employment, intersex-specific topics, civil rights, gender expression, conversion therapy, hate crimes, law and legislation, equality and inequality , health disparities or health equity, discrimination, education, adoption, asylum , family life and marriage, children	No		22/05/2025							
Resources for Research on Gender Identity, Sexual Behavior, and Sexual Orientation	https://www.icpsr.umich.edu/web/pages/RCMD/lgbtq-resources.html	Interactive Resource					Inter university Consortium for Political and Social Research ICPSR	Inter university Consortium for Political and Social Research ICPSR	"Here you'll find data resources for those interested in studying gender identity, sexual behavior, and sexual orientation, or in finding datasets in which those populations are well-represented. We include data resources available at ICPSR and elsewhere. For instance, you'll find data from studies that focus on these populations and data from broader studies that contain questions that enable researchers to identify participants in these populations.; In the spreadsheet linked below, you'll find rows for each study or dataset and columns for each question related to identity, behavior, and/or orientation. When possible, for studies in the ICPSR holdings, we have included links to specific variables."	Unknown	No						English	Sexuality and Gender Identity	gender identity, sexual behavior, gender expression, sexual orientation, lgbt or lgbti, gender nonconformity	No		08/05/2025							
Roze Vragenlijst 2010 - RV2010 v1	https://doi.org/10.17026/dans-xbz-7vtt	Dataset		2011	2010	2010	Sociaal en Cultureel Planbureau (SCP) (Netherlands Institute for Social Research)	Data Archiving and Networked Services (DANS)					Netherlands	Western Europe				Sexuality and Gender Identity	sexual and gender minorities, homosexual, homosexuality, gay, bisexuals, transgender people, lesbians			08/05/2025							
Same Feelings - onderzoek onder homo jongeren - SAME 2009	https://doi.org/10.17026/dans-xn4-qmg9	Dataset		2009	2009	2009	Sociaal en Cultureel Planbureau (SCP) (Netherlands Institute for Social Research)	Data Archiving and Networked Services (DANS)		Mixed	No		Netherlands	Western Europe		Individual	Dutch	Sexualitiy and Gender Identity	sexual and gender minorities, homosexual, homosexuality, gay, living open and daily life, youth, sexual orientation	Yes		23/05/2025							
Same-Sex Couples and the Impact of Legislative Changes 2007-2009	https://doi.org/10.5255/UKDA-SN-6929-1	Dataset	O’Connor, W., and M. Mitchell. 2013. “Same-Sex Couples and the Impact of Legislative Changes, 2007-2009.” https://doi.org/10.5255/UKDA-SN-6929-1.	2013	2007	2008		UK Data Archive	"This qualitative study used 47 Semi-structured interviews to explore the impact of legislative changes, including the Civil Partnership Act (2004), the Employment Equality (Sexual Orientation) Regulations (2003) and the Adoption and Children Act (2002) on the lives of same-sex couples. Key objectives were to explore (a) how effective the legislation was perceived to have been in terms of increasing the sense of social inclusion amongst same-sex couples and reducing discrimination; (b) the views of same-sex couples about the involvement of the state in defining their relationship since the implementation of the legislation. Participants were purposively selected in order to create a diverse sample according to partnership status or intentions in relation to civil partnership; gender; age; parental status; ethnicity; socio-economic status; and geographical location. All those included had at least two years’ experience of being a couple in order to ensure that discussion of circumstances and commitment could facilitate consideration of the legal recognition of the relationship or other family commitments. Fieldwork was conducted between June 2007 and January 2008. Verbatim interview data was comprehensively and systematically analysed using the computer-aided qualitative package FrameWork which uses a matrix based format to allow for the thematic and case based interpretation of data. The research showed that the legislation had a number of positive impacts around improving a sense of social inclusion and reducing discrimination but that the legislation also posed a threat to some participants’ sense of social inclusion. Views of couples towards state involvement in their lives differed according to whether they viewed themselves as different and distinctive from traditional heterosexual couples. Views varied between civil partnership as: an imposition and regulation; ambivalence and trying to make the legislation work personally within a broad legal framework; welcome of Civil Partnership for its equation with traditional marriage."	Qualitative	No		United Kingdom	Northern Europe		Individual	English	Sexuality and Gender Identity, Law and Policy, Family and Marriage, Socio-economic-cultural, Social Justice and Equality	adoption, same-sex marriage, discrimination, homosexuality, homosexual, lesbians, gay, bisexuals, same-sex, relationship, employment, gay couples, sexual behavior, gender identity	No		23/05/2025							
Same-sex couples living together in Australia: Examining characteristics of same-sex couples from the 2021 Census data	https://www.abs.gov.au/articles/same-sex-couples-living-together-australia#:~:text=couples%20living%20together-,The%202021%20Census%20counted%2078%2C425%20same%2Dsex%20couples%20living%20together,counted%2033%2C714%20same%2Dsex%20couples.	Website		2022	2011	2022	Australian Bureau of Statistics	Australian Bureau of Statistics	Examining characteristics of same-sex couples from the 2021 Census data	Quantitative	Yes	2011-2021	Australia	Australia and New Zealand	Nation	Geographic Unit	English	Sexuality and Gender Identity	same-sex couples living together 	No	same-sex couples living together 								
Self-determination models in Europe Practical experiences	https://tgeu.org/tgeu-study-gender-self-determination-works-eng/	Report, Statistics	"Richard Köhler (2022) Self-determination models in Europe: Practical; experiences. TGEU."	2022	2021	2022	Richard Köhler	TGEU Trans Europe and Central Asia	"We look at how self-determination works in practice. The report includes experiences from nine states in Europe. We reached out to public authorities in:  Belgium, Denmark, Iceland, Ireland, Malta, Luxembourg, Norway, Portugal,  Switzerland.; We asked for official data and reports on the implementation of self-determination models.; The report contains an overview of the different models. It shows experiences on questions such as:;     Have there been cases of ‘regret’? Have people made repeat applications?;     Have people used the law for fraud or with criminal intent?;     Are there negative effects from the law? Are single-sex services for women affected?;     Are there positive effects of the self-determination law?; The publication also discusses how children, non-binary people, and migrants can access self-determination procedures"	Mixed	No		Belgium, Denmark, Iceland, Malta, Luxembourg, Norway, Portugal, Switzerland	Europe, Central Asia	Nation	Text Unit	English, German	Sexuality and Gender Identity, Law and Policy	law and legislation, sexual orientation, gender identity	No		24/05/2025							
Sex, Gender and Sexual Orientation Statistics	https://www.statcan.gc.ca/en/subjects-start/society_and_community/sex_gender_and_sexual_orientation	Statistics		2024	2008	2023	Statistics Canada	Statistics Canada		Quantitative	Yes	2008-2023	Canada	Northern America	Province	Individual	English	Sexuality and Gender Identity	sexual orientation	No	Sex, gender and sexual orientation								
Sexual and Gender Minorities	https://www.ncbi.nlm.nih.gov/mesh/2016685	Controlled Vocabulary		2018			National Library of Medicine		Medical Subject Heading (MeSH).  Individuals including lesbian, gay, bisexual, transgender, queer, intersex, gender non-conforming people, and other populations whose sexual orientation or GENDER IDENTITY and reproductive development is considered outside cultural, societal, or physiological norms. Previous MeSH indexing terms are noted.								English	Sexuality and Gender Identity	sexual orientation, gender identity, terminology, sexual and gender minorities	No									
Sexual Identity 2001	https://urn.fi/urn:nbn:fi:fsd:T-FSD1288	Dataset		2005	2001	2001	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	gender identity, lgbt or lgbti, sexual behavior, homosexuality, sexual orientation, bisexuals	No		21/05/2025							
Sexual Minorities at Work 2003	http://urn.fi/urn:nbn:fi:fsd:T-FSD2796	Dataset		2013	2002	2003	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Quantitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	lgbt or lgbti, discrimination, transgender people, employment, labor, gender identity, sexual and gender minorities, equality and inequality, sexual orientation	No		21/05/2025							
Sexual Minorities at Work 2003: Open-ended Responses	http://urn.fi/urn:nbn:fi:fsd:T-FSD2818	Dataset		2013	2002	2003	Finnish Social Science Data Archive	Finnish Social Science Data Archive		Qualitative			Finland	Northern Europe			Finnish	Sexuality and Gender Identity	lgbt or lgbti, discrimination, transgender people, employment, labor, gender identity, sexual and gender minorities, equality and inequality, sexual orientation	No		21/05/2025							
Sexual Orientation and Gender Identity in BJS Collections	https://bjs.ojp.gov/sexual-orientation-and-gender-identity-bjs-data-collections	Collection		2022			U. S. Bureau of Justice		This collection highlights data on sexual orientation and gender identity from the National Crime Victimization Survey, the National Inmate Survey, the National Survey of Youth in Custody and the Survey of Prison Inmates.	Quantitative	Yes		United States of America	Northern America			English	Sexuality and Gender Identity	inmates, crime										
Sexual orientation, gender diversity and level of living, 2020	https://doi.org/10.18712/NSD-NSD3028-V2	Dataset	Anderssen, Norman, Eggebø, Helga, Stubberud, Elisabeth, & Holmelid, Øystein. (2022). Sexual orientation, gender diversity and level of living, 2020 [Data set]. Sikt - Norwegian Agency for Shared Services in Education and Research. https://doi.org/10.18712/NSD-NSD3028-V1	2022	2020	2020	Norman Anderssen	Sikt– Norwegian Agency for Shared Services in Education and Research	"This is the fourth national standard of living survey among lesbian women, homosexual men and bisexual women and men, this round is also expanded to include transgender people. ; Main findings can be summarised as such: 1) Transgender people reported important challenges in their everyday life. At the same time, they also reported pride, receiving support, and participation in organisations and networks. 2) Lesbian women and gay men reported mostly living conditions similar to heterosexual women and men, but were more vulnerable regarding mental health. The analysis indicated few differences between lesbian and heterosexual women. Differences between gay and heterosexual men were also relatively small, but on some parameters gay men reported significantly more challenges in their everyday life. 3) Significantly more bisexual women and men indicated challenges in their everyday life, compared to lesbian women and gay men, and compared to heterosexual women and men. In an equivalent survey from 2013 bisexual women stood out as more vulnerable than the other groups. In the present survey, this was the case also for bisexual men."	Quantitative	No		Norway	Northern Europe	Nation	Individual	Norwegian	Sexualitiy and Gender Identity, Criminal Justice, Socio-economic-cultural, Health, Discrimination, Opinions and Social Attitudes	discrimination, violence, health, living open and daily life, sexual behavior, sexual orientation, sexual and gender minorities, gender roles, lgbt or lgbti, public health, criminal law, social networks	Yes	"On the website, the collection is named ""Sexual Orientation, Gender Diversity and Level of Living (2008 - 2020)"""	23/05/2025							
Sexuality, Citizenship and Migration: the Irish Lesbian, Gay, Bisexual and Transgender Diaspora in London 2008	http://doi.org/10.5255/UKDA-SN-7014-1	Dataset	Ryan-Flood, R., Jung, F. (2013). Sexuality, Citizenship and Migration: the Irish Lesbian, Gay, Bisexual and Transgender Diaspora in London, 2008. [data collection]. UK Data Service. SN: 7014, DOI: http://doi.org/10.5255/UKDA-SN-7014-1 (NOT found in keyword search)	2013	2008	2008		UK Data Archive	This research project examined the experiences of Irish lesbian, gay, bisexual and transgendered (LGBT) people living in London. There is a long history of Irish migration to the UK, particularly London. This has coincided historically with many Irish LGBT people feeling compelled to emigrate in search of a more supportive social climate. The appeal of global cities to LGBT people has long been acknowledged. Metropolitan centres are associated with tolerance of sexual diversity and established queer communities. This study will explore Irish queer migrants' reasons for moving to London and experiences there. The research questions will focus on notions of home, identity, belonging, familial relationships and subjectivity. By exploring the relationship between sexuality, ethnicity and diaspora, the study intended to uncover the ways in which contemporary sexual citizenship, migration and queer imaginaries of the metropolis are mutually implicated in complex ways. A qualitative dataset is produced containing interviews with 38 Irish LGBT participants who have been living in London for at least five years. In addition to generating new theoretical work on sexuality and migration, the research findings will be used to inform policy and debate regarding processes of social exclusion.	Qualitative	No		United Kingdom	Northern Europe	Prefecture or City	Individual	English	Sexuality and Gender Identity, Migration and Immigration, Social Justice and Equality, Discrimination	citizenship, discrimination, immigration, sexual and gender minorities, homosexual, homosexuality, gay, bisexuals, transgender people, lesbians, lgbt or lgbti, gender identity	No		23/05/2025							
Social Justice Sexuality Project	https://www.icpsr.umich.edu/web/RCMD/studies/34363	Project or Pilot		2013	2010			Inter university Consortium for Political and Social Research ICPSR	The Social Justice Sexuality Project (SJS) is one of the largest national surveys of Black, Latina/o, Asian and Pacific Islander, and multiracial lesbian, gay, bisexual, and transgender (LGBT) people. 	Mixed	No	2010	United States of America	Northern America		Individual	English	Sexuality and Gender Identity	health, families, religion	No									
Statistical Investigations on Sociology and History of the Concentration Camps: The Group of Prisoners with the Pink Stripe (Homosexuals)	https://doi.org/10.4232/1.8028	Dataset		1990	1939	1939		GESIS - Leibniz Institute for the Social Sciences	Analysis of the structure, intensity, course and results of the persecution non-political marginalized groups in the Third Reich.	Quantitative	No	1939	Germany	Western Europe		Individual	German	Criminal Justice, Family and Marriage	"reason for incarceration, criminal law, incarceration, incarceration date, religion, concentration camp, end of KZ-detention; manner of end, children, marital status"	No									
Stonewall	https://www.stonewall.org.uk/	Website					Stonewall	Stonewall	"At Stonewall, we stand for lesbian, gay, bi, trans, queer, questioning and ace (LGBTQ+) people everywhere. We imagine a world where all LGBTQ+ people are free to be ourselves and can live our lives to the full. We were founded on 24 May 1989, one year to the day since Section 28 became law. Section 28 of the Local Government Act was a piece of legislation that banned the ‘promotion of homosexuality’ by schools and councils across Britain, and led to a total suppression of LGBTQ+ identities in schools.We have been part of every major fight for LGBTQ+ rights since 1989, including:;     An equal age of consent for gay and bi men;     The end of Section 28 in Scotland, and England and Wales;     Same-sex couples becoming free to adopt children;     LGBTQ+ people becoming free to serve openly in the Armed Forces;     Protection from discrimination at work;     The right for same sex-couples to have civil partnerships;     The right for LGBTQ+ couples to be legally recognised as parents;     The right for same-sex couples to get married;     LGBTQ-inclusive teaching in the national curriculum; Since 2000 we’ve worked with thousands of the UK and the world’s leading employers through our Diversity Champions programme and our Workplace Empowerment programmes. We’re proud to see so many more LGBTQ+ people celebrated and supported at work.; And since 2004, we’ve worked with tens of thousands of teachers and their schools to put the freedom, equity and potential of LGBTQ+ children and young people at the heart of our education system.; And through the Rainbow Laces campaign, which started in 2013, more than a million LGBTQ+ people and allies have laced up to make sport everyone’s game. The Rainbow Laces campaign has led to sport bodies from the Premier League to community cricket clubs working with us to make LGBTQ+ inclusion a reality on their playing fields."				United Kingdom	Northern Europe			English	Sexuality and Gender Identity, Discrimination, Social Justice and Equality, Law and Policy, Movements, Family and Marriage, Civil Rights	law and legislation, social policy, employment, discrimination, social inclusion, equality and inequality, civil rights, social movements, sports, education	No		24.05.2025							
Survey on fundamental rights of lesbian, gay, bisexual and transgender people in EU (2012) - Data Explorer.	https://fra.europa.eu/en/publications-and-resources/data-and-maps/survey-fundamental-rights-lesbian-gay-bisexual-and	Interactive Resource			2012	2012	European Union Agency for Fundamental Rights (FRA)	European Union Agency for Fundamental Rights (FRA)	"The EU LGBT survey was conducted online in the 27 European Union (EU) Member States and Croatia between April and July 2012. This survey is the largest of its kind to date and has resulted in the most wide-ranging and comprehensive picture available of the lived experience of LGBT persons residing in the EU and Croatia. The data are not representative of all LGBT persons living in the 28 countries covered by the survey but reﬂect the collective experiences of the very large number of individuals who completed the questionnaire.; The survey collected information from 93,079 persons aged 18 years or over who identiﬁed as lesbian, gay, bisexual or transgender, and who live in the EU or Croatia. The questions covered their experiences of discrimination, violence and harassment and other key issues related to the life of LGBT persons in the EU. To participate in the survey, respondents could ﬁll in the survey questionnaire anonymously over the internet. The questionnaire began with screening questions to establish respondents’ eligibility. Only those respondents who identiﬁed as lesbian, gay, bisexual or transgender, who said they live in an EU Member State or Croatia, and who stated that they were over the age of 18 were able to complete the survey."	Quantitative	No	2012		Europe		Individual	English	Sexuality and Gender Identity, Discrimination, Youth	discrimination, daily life, violence, harassment, trans-specific questions, rights awareness	No									
TGEU Trans Europe and Central Asia	 https://tgeu.org	Website					TGEU Trans Europe and Central Asia	TGEU Trans Europe and Central Asia	"There are reports with data, other reports, and other resources, such as Resources for resistance: Fundraising and thriving in tough times From website:  ""We research problems trans people face to publish clear and verified data. We use this data to understand our needs and advocate for laws and policies that improve trans rights and wellbeing."""					Europe, Central Asia			English, German, Russian	Law and Policy, Discrimination, Family and Marriage, Health, MIgration and Immigration, Sexuality and Gender Identity, Criminal Justice	law and legislation, sexual orientation, gender identity, asylum, hate crimes, health, family and marriage, civil rights, discrimination	No		24/05/2025							
TGEU Trans Rights Index and Map 2025	https://tgeu.org/trans-rights-map/	Report, Statistics, Map, Interactive Resource		2025	2024	2025	TGEU Trans Europe and Central Asia	TGEU Trans Europe and Central Asia	The Trans Rights Index & Map tracks trans rights by law. We look at six categories:Legal gender recognition, Asylum, Hate speech & hate crime, Non-discrimination, Health, Family. The map looks at laws and policies to paint a picture of trans rights. We cover 54 countries, including 49 countries in Europe and five countries in Central Asia. In collaboration with ILGA-Europe, we work with local country experts to stay up to date on new laws that impact trans people. We award points based on 32 indicators. For example, if a country passes a new legal gender recognition law based on self-determination, it would receive a point if the law does not require any third party intervention. However, if the law is only available to people over 18, the country would not receive an additional point. Using 32 indicators, we award each country a score. However, these scores are based solely on legal text. The Trans Rights Index & Map is made in collaboration with ILGA-Europe and launches on the same day as ILGA-Europe’s Rainbow Map and Index 2024.	Quantitative	Yes	2023-present	Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Kyrgyzstan, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Tajikistan, Turkey, Turkmenistan, Ukraine, United Kingdom, Uzbekistan	Europe, Central Asia	Nation	Text Unit	English, German	Law and Policy, Discrimination, Family and Marriage, Health, MIgration and Immigration, Sexuality and Gender Identity, Criminal Justice	law and legislation, sexual orientation, gender identity, asylum, hate crimes, health, family and marriage, civil rights, discrimination	No		24/05/2025							
The collection of socio-demographic variables in large German surveys	https://www.konsortswd.de/wp-content/uploads/KonsortSWD_TA3-M1_Bericht.pdf	Guide and Handbook, Finding Aid, Report		2022			Consortium for Social, Behavioral, Educational and Economic Sciences (KonsortSWD) 	Consortium for Social, Behavioral, Educational and Economic Sciences (KonsortSWD) 					Germany	Western Europe			German	Sexuality and Gender Identity, Demographic and Vital Statistics, Socio-economic-cultural, Family and Marriage	family and marriage, employment, children, education, citizenship, religion, lesbians, gay and bisexuals, gender identity, homosexual, gay couples, same=sex marriage	No		24/05/2025							
The economic cost of stigma and the exclusion of LGBT people: a case study of India	https://documents.worldbank.org/en/publication/documents-reports/documentdetail/527261468035379692/the-economic-cost-of-stigma-and-the-exclusion-of-lgbt-people-a-case-study-of-india	Report							"Human rights and equality for lesbian, gay, bisexual, and transgender (LGBT) people are usually considered through a social, cultural, or ethical lens, but equality and inclusion of LGBT people are also economic development issues. This report develops a model to estimate the economic cost of stigma; negative attitudes toward LGBT people—and the exclusion of LGBT people in social institutions such as education, employment, families, and health care. The model is applied to a case study of India. Three major findings emerge from this report. First, there is clear evidence of stigma and exclusion exists for LGBT people in India. Data on public opinion from 2006 shows that 41 percent of Indians would not want a homosexual neighbor, and 64 percent believe that homosexuality is never justified. Negative attitudes have diminished over time, however. Second, the effects of stigma and exclusion are potentially costly to economies. A conceptual model links exclusion of LGBT people and economic development through (1) lower productivity and lower output as a result of employment discrimination and constraints on labor supply; (2) inefficient investment in human capital because of lower returns to education and discrimination in educational settings; (3) lost output as a result of health disparities that are linked to exclusion; and (4) social and health services required to address the effects of exclusion that might be better spent elsewhere. Third and lastly, in India, existing research does not allow for a precise estimate of the cost of LGBT exclusion, but the cost could be substantial. The loss of labor productivity and output because of employment discrimination and the loss of life years due to early death or disability will reduce the economic output of the Indian economy. With better research on the lived experiences of LGBT people, researchers could use existing analytical tools to estimate the total cost of LGBT exclusion."				India	Southern Asia			English	Discrimination, Socio-economic-cultural	discrimination, economics, lgbt or lgbti, health										
The EU LGBTI II Survey Data Explorer 	https://fra.europa.eu/en/data-and-maps/2020/lgbti-survey-data-explorer	Interactive Resource		2020	2019	2019	European Union Agency for Fundamental Rights (FRA)	European Union Agency for Fundamental Rights (FRA)	"A total of 139,799 persons aged 15 years or older who describe themselves as lesbian, gay, bisexual, trans or intersex (LGBTI) completed the online EU-LGBTI II Survey in all EU Member States and the candidate countries of North Macedonia and Serbia.; The survey was conducted online from 27 May to 22 July 2019. Its questionnaire covered a wide range of issues, such as experiences with discrimination, harassment or violence, rights awareness, openness about being LGBTI, positive and negative experiences at work and in education, socio-economic and living conditions, health and well-being, and housing issues.; The findings are based on data weighted to take into account differences in the estimated size of each LGBTI group in each survey country and by age group, based on information on the LGBTI population from previous LGBTI surveys in the EU. In addition, the data were weighted taking into account the respondents’ affiliation with LGBTI organisations and whether they have participated in other LGBTI surveys (including FRA’s LGBT survey of 2012). This was done to correct for possible over-representation of respondents closely affiliated with LGBTI organisations and with a higher propensity to participate in LGBTI surveys."	Quantitative	No	2019		Europe		Individual	English	Sexuality and Gender Identity, Discrimination, Youth	social attitudes and government response, living open and daily life, discrimination, trans-specific topics, intersex, violence and harassment	No									
The EU LGBTI II Survey, 2019	https://doi.org/10.4232/1.13733	Dataset		2021	2019	2019	European Union Agency for Fundamental Rights (FRA)	4TU.Centre for Research Data	"The EU LGBTI II survey was carried out by the European Union Agency for Fundamental Rights (FRA) in 2019. It is a large-scale survey into experiences and views of lesbian, gay, bisexual, trans and intersex (LGBTI) individuals. The survey provides comparative evidence on how LGBTI persons in the EU experience discrimination, violence and harassment in different areas of life, including employment, education, healthcare, housing and other services.; The EU LGBTI II survey is a follow-up of the first–ever major international survey on LGBT people, which the Agency conducted in 2012. The EU LGBTI II survey is a follow-up to the first major international survey of LGBT people conducted by the Agency in 2012. The EU LGBTI II survey is a web-based opt-in survey using an anonymous online questionnaire. The survey is based on a self-selective sample. The survey was conducted between 27 May and 22 July 2019 via the website www.lgbtisurvey.eu and collected valid responses from 139,799 respondents from the Member States of the European Union (EU), Northern Macedonia and Serbia (in this context, the United Kingdom is included in the group of EU Member States, reflecting the situation at the time of data collection in 2019). Following an EU-wide open call for tenders, the FRA contracted a consortium of Agilis SA (http://www.agilis-sa.gr/) and Homoevolution (https://homoevolution.com/), based in Greece, to carry out the survey according to the FRA´s technical specifications and under the supervision of FRA staff who monitored compliance with strict quality control procedures.; The EU LGBTI II survey asked a number of questions about the experiences of LGBTI people in the following areas: (1) Perceived increase or decrease in intolerance, prejudice and violence against LGBTI people; (2) Discrimination at work, looking for work and in several other areas of life; (3) Safe environment; (4) Physical or sexual victimisation; (5) Harassment; (6) Social context of being LGBTI; (7) Background information (age, education, income, civil status); (8) Specific sections dedicated to issues related to the life of trans as well as intersex persons."	Quantitative	No	2019	Germany	Western Europe		Individual	English	Sexuality and Gender Identity, Discrimination, Youth	living open and daily live, violence and harassment, discimination, trans-specific topics, intersex-specific topics, social attitudes and government response, criminal law, equality and inequality	Yes									
The Global Divide on Homosexuality Persists	https://www.pewresearch.org/global/2020/06/25/global-divide-on-homosexuality-persists/	Report		2020	2019	2019	Pew Research Center		This analysis focuses on whether people around the world think that homosexuality should be accepted by society or not. The full question wording was, “And which one of these comes closer to your opinion? Homosexuality should be accepted by society OR Homosexuality should not be accepted by society.”								English	Opinions and Social Attitudes											
